uav_count,baseline,metric,mean_diff,t_stat,p_value,effect_size_dz,significant_p_lt_0_05
8,slar-default,packet_delivery_ratio,0.0,0.0,1.0,0.0,False
8,slar-default,avg_delivery_latency_steps,0.0,0.0,1.0,0.0,False
8,slar-default,transmission_attempts,0.0,0.0,1.0,0.0,False
8,slar-default,avg_success_rate,0.0,0.0,1.0,0.0,False
8,gpsr,packet_delivery_ratio,0.033333333333333326,1.0,0.42264973081037427,0.5773502691896258,False
8,gpsr,avg_delivery_latency_steps,0.7808857808857805,1.0,0.42264973081037427,0.5773502691896258,False
8,gpsr,transmission_attempts,-0.3333333333333333,-0.9999999999999999,0.42264973081037427,-0.5773502691896256,False
8,gpsr,avg_success_rate,0.010643274853801177,1.0,0.42264973081037427,0.5773502691896257,False
8,aodv,packet_delivery_ratio,0.10000000000000002,2.0000000000000004,0.18350341907227388,1.1547005383792517,False
8,aodv,avg_delivery_latency_steps,1.2725885225885218,0.6702919817157795,0.571704214700953,0.38699325607925306,False
8,aodv,transmission_attempts,40.0,2.643274401820359,0.11826657164518906,1.5260951874330315,False
8,aodv,avg_success_rate,-0.13617332552708966,-3.297946808076095,0.08093649579128052,-1.9040704774158006,False
8,slar-geo,packet_delivery_ratio,0.033333333333333326,1.0,0.42264973081037427,0.5773502691896258,False
8,slar-geo,avg_delivery_latency_steps,0.7808857808857805,1.0,0.42264973081037427,0.5773502691896258,False
8,slar-geo,transmission_attempts,-0.3333333333333333,-0.9999999999999999,0.42264973081037427,-0.5773502691896256,False
8,slar-geo,avg_success_rate,0.010643274853801177,1.0,0.42264973081037427,0.5773502691896257,False
16,slar-default,packet_delivery_ratio,-0.016666666666666663,-0.2294157338705618,0.8398718461949128,-0.13245323570650439,False
16,slar-default,avg_delivery_latency_steps,-2.1629378247025306,-1.4291490302660599,0.2891887709615486,-0.8251195773362023,False
16,slar-default,transmission_attempts,-0.3333333333333333,-0.032058528181875066,0.9773370195450332,-0.018508999875628773,False
16,slar-default,avg_success_rate,0.03214056627830179,0.7109876033323962,0.550826079524288,0.41048888417444573,False
16,gpsr,packet_delivery_ratio,0.016666666666666663,0.17960530202677488,0.8740118423302576,0.10369516947304253,False
16,gpsr,avg_delivery_latency_steps,-1.8079317196964257,-0.7623992017694305,0.5254661641604377,-0.44017138437153647,False
16,gpsr,transmission_attempts,-9.0,-0.7986208584745025,0.5082774717626622,-0.4610839676207039,False
16,gpsr,avg_success_rate,0.0804974429815276,1.7671166828387885,0.21924332244217892,1.0202452925264531,False
16,aodv,packet_delivery_ratio,0.08333333333333331,1.147078669352809,0.37005921165128786,0.6622661785325219,False
16,aodv,avg_delivery_latency_steps,-0.33360604537075167,-0.24133831384670126,0.8317799235839336,-0.13933674046516334,False
16,aodv,transmission_attempts,5.0,0.15376731901963683,0.8919071559345746,0.08877760302855438,False
16,aodv,avg_success_rate,0.047541580630774925,0.5118180195564876,0.6596910791037798,0.29549827136703927,False
16,slar-geo,packet_delivery_ratio,0.016666666666666663,0.17960530202677488,0.8740118423302576,0.10369516947304253,False
16,slar-geo,avg_delivery_latency_steps,-1.8079317196964257,-0.7623992017694305,0.5254661641604377,-0.44017138437153647,False
16,slar-geo,transmission_attempts,-9.0,-0.7986208584745025,0.5082774717626622,-0.4610839676207039,False
16,slar-geo,avg_success_rate,0.0804974429815276,1.7671166828387885,0.21924332244217892,1.0202452925264531,False
24,slar-default,packet_delivery_ratio,0.01666666666666668,0.9999999999999998,0.42264973081037427,0.5773502691896256,False
24,slar-default,avg_delivery_latency_steps,-3.770175438596491,-3.6860412780276364,0.06635813912669022,-2.128136924113328,False
24,slar-default,transmission_attempts,-20.666666666666668,-8.857142857142858,0.012508469360507085,-5.1136738128224,True
24,slar-default,avg_success_rate,0.10302157881105252,9.632644771243058,0.01060612074986729,5.56141005168522,True
24,gpsr,packet_delivery_ratio,0.016666666666666646,0.3779644730092267,0.7418011102528392,0.21821789023599206,False
24,gpsr,avg_delivery_latency_steps,-4.255847953216374,-1.969152662905736,0.18776673915265615,-1.1368908200040952,False
24,gpsr,transmission_attempts,-44.333333333333336,-3.927081659127326,0.05914803392948689,-2.267301653026804,False
24,gpsr,avg_success_rate,0.256148304307427,8.40757293390839,0.013853524861207337,4.8541144966234215,True
24,aodv,packet_delivery_ratio,0.15,2.5980762113533165,0.12168993434632006,1.5000000000000002,False
24,aodv,avg_delivery_latency_steps,-4.855701754385965,-10.010007124776887,0.009833057087606154,-5.779280308080008,True
24,aodv,transmission_attempts,-70.33333333333333,-24.203359923344266,0.0017027009103070165,-13.973816367036212,True
24,aodv,avg_success_rate,0.3219915609389294,8.253301288693907,0.014365057646594095,4.7650457207305115,True
24,slar-geo,packet_delivery_ratio,0.016666666666666646,0.3779644730092267,0.7418011102528392,0.21821789023599206,False
24,slar-geo,avg_delivery_latency_steps,-4.255847953216374,-1.969152662905736,0.18776673915265615,-1.1368908200040952,False
24,slar-geo,transmission_attempts,-44.333333333333336,-3.927081659127326,0.05914803392948689,-2.267301653026804,False
24,slar-geo,avg_success_rate,0.256148304307427,8.40757293390839,0.013853524861207337,4.8541144966234215,True
